"","V1","V2"
"650",51.1502202,17.1214789
"651",51.1087647,17.0280815
"652",51.166611,17.1339871
"653",51.1698498,16.8855026
"654",51.1355042,17.0867133
"655",51.1239511,17.0514267
"656",51.1363999,17.026477
"657",51.0819055,17.0252079
"658",51.1520657,17.0435725
"659",51.0993832,17.0213322
"660",51.1517979,16.9989031
"661",51.102934,17.014924
"662",51.1732668,17.1166413
"663",51.1276268,16.9812796
"664",51.160213,17.1347609
"665",51.1750836,16.91325
"666",51.1240789,17.0349909
"667",51.1508104,17.0677963
"668",51.0896064,17.0733037
"669",51.1210128,17.0327688
"670",51.1520657,17.0435725
"671",51.1546685,17.0663891
"672",51.0520489,17.0831549
"673",51.109753,17.1041029
"674",51.1091909,17.028516
"675",51.1251068,16.9680251
"676",51.1254533,16.97147
"677",51.110399,17.025498
"678",51.084302,17.0385649
"679",51.1117069,17.092354
"680",51.1280247,17.0324345
"681",51.0876197,16.9527389
"682",51.1249695,17.0533673
"683",51.1103439,17.1424875
"684",51.1117069,17.092354
"685",51.109764,17.0261779
"686",51.1750072,17.0217365
"687",51.0953559,17.035484
"688",51.1226232,17.0340905
"689",51.1991398,16.9730779
"690",51.1689499,17.1005979
"691",51.112113,16.957933
"692",51.1242079,16.955945
"693",51.097724,17.0665249
"694",51.160213,17.1347609
"695",51.117197,16.953817
"696",51.1122871,17.0303711
"697",51.1459174,17.1330003
"698",51.110836,17.0347209
"699",51.1762555,16.883509
"700",51.1368423,16.8640276
"701",51.0913558,17.0168367
"702",51.094617,17.129147
"703",51.1351433,17.0190345
"704",51.142717,16.998036
"705",51.1159316,16.927743
"706",51.0869719,17.034536
"707",51.0907588,16.9373492
"708",51.063077,16.980024
"709",51.103969,17.0821492
"710",51.1277013,16.9583452
"711",51.1104737,17.0615867
"712",51.1180809,17.0538989
"713",51.1250125,17.0538234
"714",51.0969039,16.958744
"715",51.1394809,16.898646
"716",51.1546854,16.9133449
"717",51.0586078,17.007996
"718",51.0994,17.0525428
"719",51.104845,17.085279
"720",51.1136302,17.0031291
"721",51.1093857,16.8927549
"722",51.172503,17.016738
"723",51.061982,16.985276
"724",51.1179435,17.0906506
"725",51.1179435,17.0906506
"726",51.0721429,17.008881
"727",51.0906807,17.0628445
"728",51.1078852,17.0385376
"729",51.0736242,16.9712755
"730",51.0740714,17.014113
"731",51.1427795,16.8711827
"732",51.1944279,16.978927
"733",51.1139545,17.0338528
"734",51.1078852,17.0385376
"735",51.1540364,17.1367024
"736",51.102571,17.050233
"737",51.097671,16.959757
"738",51.084351,17.04638
"739",51.1249254,17.0535669
"740",51.156714,17.0974348
"741",51.0976871,17.069236
"742",51.1235655,17.040621
"743",51.0797678,17.0583311
"744",51.1626009,17.0017399
"745",51.1250866,17.0102591
"746",51.1169145,17.0816557
"747",51.1039481,16.9716544
"748",51.097051,17.0148278
"749",51.1193685,17.0300434
"750",51.1459174,17.1330003
"751",51.0546057,17.0292767
"752",51.1225733,17.07779
"753",51.1495112,17.0758417
"754",51.1528916,17.1243309
"755",51.1635404,17.1016659
"756",51.055005,17.0312172
"757",51.0900196,17.0074738
"758",51.0626459,17.084095
"759",51.103699,17.1019179
"760",51.1199041,17.0455687
