"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"21774";1764;"";"";"Kozia  25 ";"bud.o trzech i wiÍcej mieszkaniach";"umorzenie";"przebudowa";"2012-02-21";"gru-40";"3426/15";"2015-07-08";2012;2;"2012-02-01";882;"2012_02";"Zima";16,929223;51,1588209
"21775";1765;"";"";"Kozia  27 ";"bud.o trzech i wiÍcej mieszkaniach";"umorzenie jako bezprzedmiotowe";"przebudowa";"2012-02-21";"gru-39";"3432/15";"2015-07-08";2012;2;"2012-02-01";882;"2012_02";"Zima";16,929219;51,158933
"21776";1766;"";"";"Bartoszowicka  5 ";"bud.mieszkalne jednorodzinne";"rozbudowa i przebudowa jednorodzinnego budynku mieszkalnego";"rozbudowa";"2015-05-21";"16319/15";"3435/15";"2015-07-08";2015;5;"2015-05-01";35;"2015_05";"Wiosna";17,1134199;51,100294
"21777";1767;"";"";"ZakopiaÒska  39 ";"bud.mieszkalne jednorodzinne";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-05-18";"15757/15";"3436/15";"2015-07-08";2015;5;"2015-05-01";38;"2015_05";"Wiosna";16,8895758;51,1320393
"21778";1768;"";"";"Bema JÛzefa Gen.3 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazowej w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-05-22";"16411/15";"3437/15";"2015-07-08";2015;5;"2015-05-01";34;"2015_05";"Wiosna";17,0421019;51,1165598
"21779";1769;"";"";"G≥ogowska 4 ";"bud.o trzech i wiÍcej mieszkaniach";"umorzenie";"remont";"2015-06-16";"19530/15";"3441/15";"2015-07-08";2015;6;"2015-06-01";17;"2015_06";"Lato";17,0023239;51,1158239
"21780";1770;"";"";"Odolanowska 2 ";"ulice i drogi pozosta≥e";"umorzenie";"przebudowa";"2015-04-21";"12560/15";"3443/15";"2015-07-08";2015;4;"2015-04-01";57;"2015_04";"Wiosna";17,1292366;51,1665196
"21781";1771;"";"";"£Ûdzka 22A ";"bud.o trzech i wiÍcej mieszkaniach";"odmowa";"remont";"2015-05-15";"15638/15";"3444/15";"2015-07-08";2015;5;"2015-05-01";39;"2015_05";"Wiosna";17,037678;51,09019
"21782";1772;"";"";"Osiniecka 60 ";"bud.mieszkalne jednorodzinne";"montaø wewnÍtrznej instalacji gazu w lokalu.";"inst.wewnÍtrzna";"2015-06-09";"18607/15";"3445/15";"2015-07-08";2015;6;"2015-06-01";22;"2015_06";"Lato";16,8978689;51,1211864
"21783";1773;"";"";"Miarki Karola  16  ";"bud.o trzech i wiÍcej mieszkaniach";"";"zmiana spos.uøytk.";"2015-04-23";"12851/15";"3447/15";"2015-07-09";2015;4;"2015-04-01";56;"2015_04";"Wiosna";17,0524084;51,1266437
