"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"2535";218;"";"";"Do¿ynkowa  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynków wielorodzinnych";"nowe";"2015-11-26";"38972/15";"407/16";"2016-01-28";2015;11;"2015-11-01";46;16,9833334;51,0700216
"2536";225;"";"";"Stab³owice, AM-10,dz.76/5";"bud.o trzech i wiêcej mieszkaniach";"budowa dwóch budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie bli¿niaczej";"nowe";"2015-10-23";"35165/15";"432/16";"2016-01-29";2015;10;"2015-10-01";71;17,0385376;51,1078852
"2537";233;"";"";"Dzia³dowska  22 ";"bud.o dwóch mieszkaniach";"budowa dwóch budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie bli¿niaczej";"nowe";"2015-11-10";"37114/15";"451/16";"2016-02-01";2015;11;"2015-11-01";60;17,103476;51,1300529
"2538";235;"";"";"Niepierzyñska 4 ";"bud.mieszkalne jednorodzinne";"budowa dwóch budynków mieszkalnych jednorodzinnych w zabudowie bli¿niaczej";"nowe";"2015-11-23";"38641/15";"454/16";"2016-02-01";2015;11;"2015-11-01";51;16,8587337;51,1471813
"2539";242;"";"";"Brylantowa  ";"bud.o dwóch mieszkaniach";"budowa zespo³u budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie szeregowej z wbudowanymi gara¿ami";"nowe";"2015-11-17";"37962/15";"469/16";"2016-02-02";2015;11;"2015-11-01";56;17,0278694;51,0490594
"2540";259;"";"";"Brylantowa  ";"bud.o dwóch mieszkaniach";"budowa zespo³u budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie szeregowej z wbudowanymi gara¿ami";"nowe";"2015-11-17";"37961/15";"506/16";"2016-02-02";2015;11;"2015-11-01";56;17,0278694;51,0490594
"2541";268;"";"";"Ksiêgarska  20 ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-12-02";"39669/15";"532/16";"2016-02-04";2015;12;"2015-12-01";47;17,016552;51,1770039
"2542";278;"";"";"Brodzka  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-12-14";"40911/15";"558/16";"2016-02-05";2015;12;"2015-12-01";40;16,9169143;51,1671142
"2543";280;"";"";"Szkolna  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-20";"38394/15";"561/16";"2016-02-05";2015;11;"2015-11-01";56;16,8478247;51,1310134
"2544";307;"";"";"Mieszczañska  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego z gara¿em";"nowe";"2015-09-23";"31515/15";"600/16";"2016-02-09";2015;9;"2015-09-01";100;17,0264295;51,1174612
"2545";312;"";"";"Urodzajna  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2016-01-05";"229/16";"611/16";"2016-02-09";2016;1;"2016-01-01";26;17,0385376;51,1078852
"2546";337;"";"";"Dmowskiego Romana  13 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z us³ugami w parterze";"nowe";"2015-09-15";"30393/15";"647/16";"2016-02-11";2015;9;"2015-09-01";108;17,0207333;51,1170197
"2547";338;"";"";"Polanowicka  ";"bud.mieszkalne jednorodzinne";"budowa zespo³u budynków mieszkalnych jednorodzinnych w zabudowie bli¿niaczej";"nowe";"2015-12-17";"41503/15";"655/16";"2016-02-11";2015;12;"2015-12-01";41;17,0362987;51,1653609
"2548";347;"";"";"Mieroszowska  26 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego z gara¿em";"nowe";"2015-12-14";"40905/15";"667/16";"2016-02-11";2015;12;"2015-12-01";44;16,895694;51,1394397
"2549";361;"";"";"Wilkszyñska  ";"bud.mieszkalne jednorodzinne";"budowa busynku mieszkalnego jednorodzinnego";"nowe";"2015-11-23";"38646/15";"692/16";"2016-02-15";2015;11;"2015-11-01";61;16,8830462;51,1749656
"2550";368;"";"";"Mieroszowska  ";"bud.o dwóch mieszkaniach";"budowa czterech budynków dwulokalowych w zabudowie bliŸniaczej";"nowe";"2016-01-22";"1940/16";"705/16";"2016-02-15";2016;1;"2016-01-01";17;16,895921;51,1405203
"2551";370;"";"";"Strachocin, AM-8, dz. 85/2";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-13";"37577/15";"708/16";"2016-02-15";2015;11;"2015-11-01";67;17,0385376;51,1078852
"2552";393;"";"";"Tatarska 9 ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków mieszkalnych wielorodzinnych z gara¿em podziemnym";"nowe";"2015-02-13";"4559/15";"747/16";"2016-02-17";2015;2;"2015-02-01";264;17,0818382;51,0599826
"2553";396;"";"";"Bazyliowa  ";"bud.mieszkalne jednorodzinne";"budowa czterech budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie szeregowej";"nowe";"2015-12-18";"41560/15";"755/16";"2016-02-17";2015;12;"2015-12-01";44;17,0020369;51,174609
"2554";397;"";"";"Majerankowa  ";"bud.mieszkalne jednorodzinne";"budowa 3 budynków jednorodzinnych";"nowe";"2015-12-18";"41561/15";"756/16";"2016-02-17";2015;12;"2015-12-01";44;17,0021179;51,173392
"2555";404;"";"";"Beethovena Ludwiga Van  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-12-17";"41385/15";"764/16";"2016-02-18";2015;12;"2015-12-01";46;17,0637551;51,0539783
"2556";407;"";"";"Koœciañska  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego";"nowe";"2015-12-03";"39753/15";"768/16";"2016-02-18";2015;12;"2015-12-01";56;16,883311;51,1430507
"2557";411;"";"";"Syrokomli W³adys³awa  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wraz z elementami zagiospodarowania terenu";"nowe";"2015-12-16";"41243/15";"779/16";"2016-02-19";2015;12;"2015-12-01";48;17,047649;51,1398881
"2558";419;"";"";"Têczowa  83 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku wielorodzinnego";"nowe";"2015-10-26";"35371/15";"794/16";"2016-02-19";2015;10;"2015-10-01";85;17,0086046;51,104996
"2559";423;"";"";"Przedmiejska 2 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z uslugami";"nowe";"2015-12-03";"39907/15";"800/16";"2016-02-19";2015;12;"2015-12-01";57;16,9975479;51,1200069
"2560";437;"";"";"Jagielloñska  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-12-11";"40893/15";"831/16";"2016-02-23";2015;12;"2015-12-01";53;17,1304246;51,1647305
"2561";452;"";"";"Opolska 21-21A ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku wielorodzinnego";"nowe";"2015-11-05";"36578/15";"852/16";"2016-02-24";2015;11;"2015-11-01";80;17,080271;51,079633
"2562";481;"";"";"Ksiêcia Witolda 25 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z us³ugami w parterze i gara¿em podziemnym";"nowe";"2015-11-10";"37116/15";"921/16";"2016-02-29";2015;11;"2015-11-01";80;17,0274388;51,1149025
"2563";482;"";"";"Kminkowa  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego";"nowe";"2016-01-27";"2439/16";"923/16";"2016-02-29";2016;1;"2016-01-01";24;17,0009094;51,1783728
"2564";494;"";"";"Rybnicka  12 ";"bud.o trzech i wiêcej mieszkaniach";"budowa wielorodzinnego budynku z gara¿em";"nowe";"2015-06-29";"21161/15";"944/16";"2016-03-01";2015;6;"2015-06-01";177;17,080792;51,0815259
"2565";499;"";"";"Bociania 8 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2016-01-27";"2513/16";"952/16";"2016-03-02";2016;1;"2016-01-01";26;17,0996606;51,1326084
"2566";513;"";"";"£ukowska  38 ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-12-14";"41025/15";"976/16";"2016-03-03";2015;12;"2015-12-01";59;16,9227404;51,1659595
"2567";528;"";"";"W¹sowicza Józefa  20 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2016-02-10";"4070/16";"1000/16";"2016-03-04";2016;2;"2016-02-01";18;16,8748665;51,1613998
