"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"20150";140;"";"";"Sowiñskiego Józefa Gen.  11 ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2014-12-18";"40672/14";"275/15";"2015-01-21";2014;12;"2014-12-01";25;17,1023531;51,1128819
"20151";141;"";"";"Lipa Piotrowska";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego w zabudowie zagrodowej";"nowe";"2014-12-11";"39906/14";"276/15";"2015-01-21";2014;12;"2014-12-01";30;16,9932025;51,1756961
"20152";142;"";"";"Saperów 7 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu oraz centralnego ogrzewania";"inst.wewnêtrzna";"2014-12-05";"39204/14";"277/15";"2015-01-21";2014;12;"2014-12-01";34;17,002755;51,085757
"20153";143;"";"";"Bia³odrzewna  24 ";"zbiorniki,silosy i bud.magazynowe";"przebudowa i rozbudowa magazynu na centrum kultury";"przebudowa";"2014-07-16";"22925/14";"278/15";"2015-01-21";2014;7;"2014-07-01";136;16,923921;51,1369434
"20154";144;"";"";"Piwowarska  26 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu oraz instalacji centralnego ogrzewania budynku";"inst.wewnêtrzna";"2014-12-15";"40172/14";"281/15";"2015-01-21";2014;12;"2014-12-01";28;16,911219;51,170184
"20155";145;"";"";"Saperów 7  ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2014-12-01";"38571/14";"286/15";"2015-01-21";2014;12;"2014-12-01";38;17,002755;51,085757
"20156";146;"";"";"Mydlana 2 ";"bud.przemys³owe";"przebudowa instalacji hydrantowej";"inst.wewnêtrzna";"2014-12-22";"41193/14";"287/15";"2015-01-21";2014;12;"2014-12-01";23;17,1142297;51,1207413
"20157";147;"";"";"Traugutta Romualda Gen. 119 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2014-12-10";"39696/14";"288/15";"2015-01-21";2014;12;"2014-12-01";31;17,0539454;51,0998254
"20158";148;"";"";"S³otna 9 ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazu w budynku";"inst.wewnêtrzna";"2014-11-26";"38125/14";"289/15";"2015-01-21";2014;11;"2014-11-01";41;16,99821;51,075581
"20159";149;"";"";"Weso³a  38 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego wraz z przyleg³ym pomieszczeniem pralni w budynku wielorodzinnym";"przebudowa";"2015-01-07";"224/15";"290/15";"2015-01-21";2015;1;"2015-01-01";11;17,038505;51,091181
