"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"Lon";"Lat";"lon";"lat"
"3526";378;"";"2010-02-17";"Oleúnicka 15A";"bud.o trzech i wiÍcej mieszkaniach";"rozbudowa wew.instal.gaz.w lokalu mieszkal.";"inst.wewnÍtrzna";"2009-12-18";"45041/09";"326/10";"2010-02-17";2009;12;"2009-12-01";44;NA;NA;17,0450519;51,120937
"3527";379;"";"2010-02-17";"O≥taszyÒska 92";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa pomieszczeÒ lokalu us≥ugowego";"przebudowa";"2010-01-14";"1122/10";"327/10";"2010-02-17";2010;1;"2010-01-01";25;NA;NA;17,007379;51,058853
"3528";380;"";"2010-02-17";"Miejska";"ulice i drogi pozosta≥e";"przebudowa siÍgacza";"przebudowa";"2010-01-19";"1612/10";"328/10";"2010-02-17";2010;1;"2010-01-01";22;NA;NA;17,1293568;51,137063
"3529";381;"";"2010-02-17";"åwidnicka 7";"bud.handlowo-uslugowe";"przebudowa i remont lokalu handlowego";"przebudowa";"2009-12-23";"45817/09";"329/10";"2010-02-17";2009;12;"2009-12-01";41;NA;NA;17,032276;51,1081999
"3530";382;"";"2010-02-17";"Nowowiejska 71";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.wraz z montaøem instal.gaz.";"przebudowa";"2009-12-29";"46107/09";"330/10";"2010-02-17";2009;12;"2009-12-01";37;NA;NA;17,0582876;51,1187002
"3531";383;"";"2010-02-17";"Buforowa 119";"bud.mieszkalne jednorodzinne";"nadbudowa elewacji do budynku us≥ug.-mieszk";"rozbudowa";"2010-02-02";"3357/10";"331/10";"2010-02-17";2010;2;"2010-02-01";12;NA;NA;17,05939;51,047491
"3532";384;"";"2010-02-17";"KamieÒskiego Henryka Micha≥a 73A";"bud.szpitali i zak≥.opieki medycznej";"przebudowa i nadbudowa w systemie modu≥owym ≥acznika ";"przebudowa";"2010-01-19";"1679/10";"332/10";"2010-02-17";2010;1;"2010-01-01";22;NA;NA;17,043789;51,1482816
"3533";385;"";"2010-02-17";"Kazimierza Wielkiego 27A";"bud.biurowe";"budowa przy≥.nc oraz montaø wew.instal.gaz.     dla budynku";"przy≥πcze";"2010-01-15";"1185/10";"333/10";"2010-02-17";2010;1;"2010-01-01";24;NA;NA;17,0275683;51,1081715
"3534";386;"";"2010-02-18";"Zag≥oby Onufrego 50A";"bud.mieszkalne jednorodzinne";"budynek jednorodzinny";"nowe";"2010-01-06";"270/10";"27/10";"2010-02-18";2010;1;"2010-01-01";32;NA;NA;16,9289788;51,1152722
"3535";387;"";"2010-02-18";"Ba≥kaÒska 10";"bud.mieszkalne jednorodzinne";"umarzam jako bezprzedmiotowe-dom jednorodzinny";"nowe";"2010-01-25";"2362/10";"43/10";"2010-02-18";2010;1;"2010-01-01";19;NA;NA;17,0180289;51,1358733
"3536";388;"";"2010-02-18";"Pomorska 51/53";"bud.handlowo-uslugowe";"umarzam jako bezprzedmiotowe";"przebudowa";"2009-12-23";"45775/09";"44/10";"2010-02-18";2009;12;"2009-12-01";42;NA;NA;17,0312759;51,1208493
"3537";389;"";"2010-02-18";"Kazimierza Wielkiego 45";"bud.biurowe";"umarzam jako bezprzedmiotowe";"rozbudowa";"2009-12-07";"43325/09";"45/10";"2010-02-18";2009;12;"2009-12-01";54;NA;NA;17,0306609;51,1074376
"3538";390;"";"2010-02-18";"Wagonowa 12";"bud.garaøy";"przebudowa piwnicy";"przebudowa";"2009-12-23";"45869/09";"334/10";"2010-02-18";2009;12;"2009-12-01";42;NA;NA;16,9888805;51,1116346
"3539";391;"";"2010-02-18";"Trzebnicka 21";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-12-31";"46458/09";"335/10";"2010-02-18";2009;12;"2009-12-01";36;NA;NA;17,03632;51,122454
"3540";392;"";"2010-02-18";"Obornicka 113-113G";"rurociπgi gazu sieci rozdzielczej";"przebudowa sieci gazowej úr/c wraz z przy≥πczami gazu úr/c do budynkÛw";"przebudowa";"2010-01-12";"800/10";"336/10";"2010-02-18";2010;1;"2010-01-01";28;NA;NA;17,02514;51,1434949
"3541";393;"";"2010-02-18";"Sygna≥owa";"rurociπgi wodociπg.sieci ";"sieci wodociπgowej";"nowe";"2010-01-27";"2619/10";"337/10";"2010-02-18";2010;1;"2010-01-01";17;NA;NA;17,0653416;51,060139
"3542";394;"";"2010-02-18";"Paw≥owicka 87/89";"bud.szkÛ≥ i instytucji badawczych";"zagospodarowanie terenu zespo≥u pa≥acowo-parkowego";"remont";"2009-12-31";"46444/09";"338/10";"2010-02-18";2009;12;"2009-12-01";36;NA;NA;17,1161237;51,1715671
"3543";395;"";"2010-02-18";"Wejherowska 43";"bud.o trzech i wiÍcej mieszkaniach";"zespÛ≥ wielorodzinnych budynkÛw mieszkalnych ";"nowe";"2009-12-18";"45187/09";"339/10";"2010-02-18";2009;12;"2009-12-01";45;NA;NA;16,985976;51,1268929
"3544";396;"";"2010-02-18";"WyszyÒskiego Stefana Kardyn 115";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa cz.strychu na lokal mieszkalny";"przebudowa";"2010-01-27";"2621/10";"340/10";"2010-02-18";2010;1;"2010-01-01";17;NA;NA;17,0536083;51,1235949
"3545";397;"";"2010-02-18";"Olszewskiego Karola 83";"bud.o trzech i wiÍcej mieszkaniach";"remont mieszkania";"przebudowa";"2009-12-17";"44885/09";"341/10";"2010-02-18";2009;12;"2009-12-01";46;NA;NA;17,1043085;51,1013789
"3546";398;"";"2010-02-18";"KsiÍgarska 2A";"bud.mieszkalne jednorodzinne";"linia kablowa";"przy≥πcze";"2010-01-22";"2074/10";"342/10";"2010-02-18";2010;1;"2010-01-01";20;NA;NA;17,0217365;51,1750072
"3547";399;"";"2010-02-18";"KwidzyÒska 11";"bud.handlowo-uslugowe";"budynku us≥ugowego z czÍúciπ mieszkalnπ";"nowe";"2009-11-16";"40215/09";"343/10";"2010-02-18";2009;11;"2009-11-01";69;NA;NA;17,0847029;51,1320939
"3548";400;"";"2010-02-18";"Szewska 47";"bud.o trzech i wiÍcej mieszkaniach";"montaz wew.instal.          centralnego ogrzewania i wew.instal.ciep≥ow.";"inst.wewnÍtrzna";"2009-12-23";"45893/09";"344/10";"2010-02-18";2009;12;"2009-12-01";42;NA;NA;17,0357859;51,1131449
"3549";401;"";"2010-02-18";"PowstaÒcÛw ålπskich 141";"bud.o trzech i wiÍcej mieszkaniach";"";"inst.wewnÍtrzna";"2010-01-18";"1408/10";"345/10";"2010-02-18";2010;1;"2010-01-01";24;NA;NA;17,0119869;51,0869049
"3550";402;"";"2010-02-18";"Jadwigi åw. 12";"bud.szkÛ≥ i instytucji badawczych";"remont dachu oraz przebudowa 2 piÍtra i poddasza budynku ";"remont";"2010-02-08";"4085/10";"346/10";"2010-02-18";2010;2;"2010-02-01";9;NA;NA;17,040137;51,1146453
"3551";403;"";"2010-02-18";"Podwale";"linie elektroener.i telekom.rozdzielcz.";"przebudowa istniejacych linii kablowych ún ";"przebudowa";"2010-01-22";"2194/10";"347/10";"2010-02-18";2010;1;"2010-01-01";20;NA;NA;17,0279961;51,1053007
"3552";404;"";"2010-02-18";"ålepa 7";"linie elektroener.i telekom.rozdzielcz.";"budowa sieci elektroenergetycznej oúwietlenia drogowego";"przebudowa";"2010-01-08";"513/10";"348/10";"2010-02-18";2010;1;"2010-01-01";30;NA;NA;16,8732566;51,1402969
"3553";405;"";"2010-02-18";"Sztabowa 78A";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazowej w lokalu uøytkowym";"inst.wewnÍtrzna";"2010-02-02";"3337/10";"349/10";"2010-02-18";2010;2;"2010-02-01";13;NA;NA;17,0182078;51,0878759
"3554";406;"";"2010-02-18";"Øeromskiego Stefana 50";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego i wewnÍtrznej instalacji ";"przebudowa";"2010-01-28";"2768/10";"350/10";"2010-02-18";2010;1;"2010-01-01";16;NA;NA;17,0489546;51,1238356
"3555";407;"";"2010-02-19";"Boles≥awa Krzywoustego 313/315";"bud.o trzech i wiÍcej mieszkaniach";" umarzam jako bezprzedmiotowe-budynki mieszk-us≥ug";"przebudowa";"2009-12-22";"45637/09";"46/10";"2010-02-19";2009;12;"2009-12-01";44;NA;NA;17,113467;51,1464779
"3556";408;"";"2010-02-19";"TÍczowa 69";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wew.instal.gaz.w mieszkanu";"inst.wewnÍtrzna";"2010-01-20";"1795/10";"351/10";"2010-02-19";2010;1;"2010-01-01";23;NA;NA;17,011136;51,10499
"3557";409;"";"2010-02-19";"Traugutta Romualda Gen. 71";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego oraz rozbudowa instalacji ";"przebudowa";"2010-01-26";"2407/10";"352/10";"2010-02-19";2010;1;"2010-01-01";19;NA;NA;17,0506151;51,1027523
"3558";410;"";"2010-02-19";"åwieradowska 51-57";"bud.handlowo-uslugowe";"przebudowa i rozbudowa wnÍtrza studia top-gym fitness 1  w budynku ";"rozbudowa";"2010-01-18";"1465/10";"353/10";"2010-02-19";2010;1;"2010-01-01";25;NA;NA;17,041974;51,0759339
"3559";411;"";"2010-02-19";"Hutnicza 4";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu oraz instalacji co w lokalu ";"inst.wewnÍtrzna";"2010-01-27";"2691/10";"354/10";"2010-02-19";2010;1;"2010-01-01";18;NA;NA;16,9590639;51,13312
"3560";412;"";"2010-02-19";"Antoniego åw. 2/4";"bud.handlowo-uslugowe";"linii kablowej úr/n  20kv do zasilania stacji transformatorowej ";"przy≥πcze";"2010-01-25";"2374/10";"355/10";"2010-02-19";2010;1;"2010-01-01";20;NA;NA;17,0266974;51,1087025
"3561";413;"";"2010-02-19";"Baøancia 7";"bud.mieszkalne jednorodzinne";"rozbudowa domu jednorodzinnego";"przebudowa";"2009-11-20";"40995/09";"356/10";"2010-02-19";2009;11;"2009-11-01";66;NA;NA;17,0829358;51,1353272
"3562";414;"";"2010-02-19";"Popielskiego Leona 25C";"bud.mieszkalne jednorodzinne";"4 domy jednorodzinne";"nowe";"2009-12-22";"45621/09";"357/10";"2010-02-19";2009;12;"2009-12-01";44;NA;NA;17,0866719;51,0717049
"3563";415;"";"2010-02-19";"WiÍckowskiego Stanis≥awa 8";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2010-02-16";"5057/10";"358/10";"2010-02-19";2010;2;"2010-02-01";4;NA;NA;17,0540813;51,0988544
"3564";416;"";"2010-02-19";"£πcznoúci 13";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2010-02-11";"4491/10";"359/10";"2010-02-19";2010;2;"2010-02-01";7;NA;NA;17,01152;51,0914469
"3565";417;"";"2010-02-19";"ålÍøna 148";"linie telekomunikacyjne ";"przebudowa konstrukcji dachu  i montaø urzπdzeÒ stacji bazowej";"nowe";"2009-12-23";"45822/09";"360/10";"2010-02-19";2009;12;"2009-12-01";43;NA;NA;17,0209059;51,0789848
"3566";418;"";"2010-02-22";"WyszyÒskiego Stefana Kardyna≥a 60";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego w budyn";"przebudowa";"2009-12-10";"43740/09";"28/10";"2010-02-22";2009;12;"2009-12-01";53;NA;NA;17,0510691;51,1178738
"3567";419;"";"2010-02-22";"Kniaziewicza Karola Gen. 19";"bud.biurowe";"przebudowa klatki schodowej w budynku biurowym";"przebudowa";"2010-01-18";"1485/10";"29/10";"2010-02-22";2010;1;"2010-01-01";26;NA;NA;17,042816;51,1012572
"3568";420;"";"2010-02-22";"Stoczniowa 15";"bud.mieszkalne jednorodzinne";"umarzam postÍpowanie administracyjne";"rozbudowa";"2009-12-22";"45643/09";"47/10";"2010-02-22";2009;12;"2009-12-01";45;NA;NA;17,1282012;51,1625602
"3569";421;"";"2010-02-22";"PorÍbska";"bud.mieszkalne jednorodzinne";"umorzenie post.";"rozbudowa";"2009-12-22";"45537/09";"48/10";"2010-02-22";2009;12;"2009-12-01";45;NA;NA;16,8988219;51,1437019
"3570";422;"";"2010-02-22";"TybetaÒska 35";"bud.mieszkalne jednorodzinne";"nadbudowa budynku mieszkalnego jednorodzinnego ";"rozbudowa";"2010-01-13";"953/10";"361/10";"2010-02-22";2010;1;"2010-01-01";29;NA;NA;17,0869009;51,0552439
"3571";423;"";"2010-02-22";"WilkszyÒska";"bud.mieszkalne jednorodzinne";"zewnÍtrzna instalacja gazu do dwÛch budynkÛw mieszkaln";"inst.wewnÍtrzna";"2010-01-21";"1998/10";"362/10";"2010-02-22";2010;1;"2010-01-01";23;NA;NA;16,8830462;51,1749656
"3572";424;"";"2010-02-22";"JarociÒska 37";"bud.o dwÛch mieszkaniach";"budowa domu jednorodzinnego dwu mieszkaniowego";"nowe";"2009-12-31";"46417/09";"363/10";"2010-02-22";2009;12;"2009-12-01";38;NA;NA;16,9982171;51,1431411
"3573";425;"";"2010-02-22";"Mieroszowska";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej nn";"nowe";"2010-01-08";"589/10";"364/10";"2010-02-22";2010;1;"2010-01-01";32;NA;NA;16,895921;51,1405203
"3574";426;"";"2010-02-22";"Wincentego Kad≥ubka B≥ogos≥awionego 17";"bud.mieszkalne jednorodzinne";"rozbudowa budynku jednorodzinnego";"rozbudowa";"2009-12-31";"46484/09";"365/10";"2010-02-22";2009;12;"2009-12-01";38;NA;NA;16,9675155;51,0737374
"3575";427;"";"2010-02-22";"Kordeckiego Augustyna Ks. 6";"bud.mieszkalne jednorodzinne";"budynek jednorodzinny";"nowe";"2010-01-29";"3049/10";"366/10";"2010-02-22";2010;1;"2010-01-01";17;NA;NA;16,9269622;51,1196949
"3576";428;"";"2010-02-22";"Brylantowa 7";"bud.mieszkalne jednorodzinne";"budowa domu jednorodzinnego";"nowe";"2009-12-23";"45890/09";"367/10";"2010-02-22";2009;12;"2009-12-01";44;NA;NA;17,026876;51,050663
"3577";429;"";"2010-02-22";"Hallera JÛzefa Gen. Aleja 128";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2010-01-07";"410/10";"368/10";"2010-02-22";2010;1;"2010-01-01";33;NA;NA;16,9895445;51,0906369
"3578";430;"";"2010-02-23";"Gajowa 8/10";"bud.o trzech i wiÍcej mieszkaniach";"";"przebudowa";"2009-12-21";"45267/09";"30/10";"2010-02-23";2009;12;"2009-12-01";47;NA;NA;17,041176;51,095146
"3579";431;"";"2010-02-23";"Skargi Piotra Ks. 29-31";"bud.szkÛ≥ i instytucji badawczych";"uchylam w≥asnπ decyzjÍ i zatwierdzam i udzielam pozwolenia ";"rozbudowa";"2008-11-05";"41915/08";"49/10";"2010-02-23";2008;11;"2008-11-01";340;NA;NA;17,0392518;51,1067702
"3580";432;"";"2010-02-23";"Rydygiera Ludwika 61";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wewnÍtrznej instalacji gazowej w lokalu mie";"inst.wewnÍtrzna";"2010-01-13";"874/10";"369/10";"2010-02-23";2010;1;"2010-01-01";30;NA;NA;17,0323621;51,1218411
"3581";433;"";"2010-02-23";"Boczna 8";"bud.o trzech i wiÍcej mieszkaniach";"instalacja gazowa w mieszkaniu";"inst.wewnÍtrzna";"2010-02-18";"5344/10";"370/10";"2010-02-23";2010;2;"2010-02-01";4;NA;NA;17,0445949;51,0927159
"3582";434;"";"2010-02-23";"£ysogÛrska 5";"bud.mieszkalne jednorodzinne";"przebudowa budynku jednorodzinnego";"rozbudowa";"2009-12-30";"46395/09";"371/10";"2010-02-23";2009;12;"2009-12-01";40;NA;NA;16,974614;51,0622739
"3583";435;"";"2010-02-23";"S≥otna";"rurociπgi wodociπg.sieci ";"sieÊ wodociπgowa";"nowe";"2010-01-15";"1196/10";"372/10";"2010-02-23";2010;1;"2010-01-01";28;NA;NA;16,9983762;51,0755748
"3584";436;"";"2010-02-23";"Pasteura Ludwika Wybrzeøe 16";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2010-01-12";"854/10";"373/10";"2010-02-23";2010;1;"2010-01-01";31;NA;NA;17,0703954;51,1132789
"3585";437;"";"2010-02-23";"Jednoúci Narodowej 162";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku wielorodz";"przebudowa";"2010-01-21";"1898/10";"374/10";"2010-02-23";2010;1;"2010-01-01";24;NA;NA;17,047458;51,1265
"3586";438;"";"2010-02-23";"Jutrzenki";"rurociπgi wodociπg.sieci ";"sieÊ wodociπgowa z przy≥πczami";"nowe";"2009-12-31";"46459/09";"375/10";"2010-02-23";2009;12;"2009-12-01";39;NA;NA;16,9799311;51,0710148
"3587";439;"";"2010-02-23";"Lotnicza 22";"bud.o trzech i wiÍcej mieszkaniach";"montaøu wewn inst wody zimnej z inst wody przeciwpoøarowej,wewn ";"inst.wewnÍtrzna";"2010-01-08";"620/10";"376/10";"2010-02-23";2010;1;"2010-01-01";33;NA;NA;16,9715586;51,1291827
"3588";440;"";"2010-02-23";"P≥uøna 35";"bud.mieszkalne jednorodzinne";"budynku mieszkalnego jednorodzinnego";"nowe";"2010-02-03";"3406/10";"377/10";"2010-02-23";2010;2;"2010-02-01";15;NA;NA;16,87182;51,122028
"3589";441;"";"2010-02-23";"Wieniawskiego Henryka 7";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa i rozbudowa budynku mieszkalnego wielorodzinnego";"przebudowa";"2009-12-21";"45463/09";"378/10";"2010-02-23";2009;12;"2009-12-01";47;NA;NA;17,0867049;51,1229554
"3590";442;"";"2010-02-23";"SrebrnogÛrska";"bud.o trzech i wiÍcej mieszkaniach";"przy≥πczy telekomunikacyjnych ";"przy≥πcze";"2010-01-13";"872/10";"379/10";"2010-02-23";2010;1;"2010-01-01";30;NA;NA;17,0479003;51,0720778
"3591";443;"";"2010-02-23";"Braniborska 58-68";"bud.handlowo-uslugowe";"przebudowa lokalu handlowego w budynku";"przebudowa";"2009-12-30";"46407/09";"380/10";"2010-02-23";2009;12;"2009-12-01";40;NA;NA;17,0094469;51,111232
"3592";444;"";"2010-02-23";"Bartla Kazimierza 5";"bud.szkÛ≥ i instytucji badawczych";"przy≥πcza sieci wask do budynku";"przy≥πcze";"2010-01-15";"1362/10";"381/10";"2010-02-23";2010;1;"2010-01-01";28;NA;NA;17,0715581;51,1096538
"3593";445;"";"2010-02-24";"PowstaÒcÛw ålπskich";"ulice i drogi pozosta≥e";"przebudowa odcinkÛw ulic";"przebudowa";"2009-12-30";"46297/09";"8/10";"2010-02-24";2009;12;"2009-12-01";41;NA;NA;17,0159984;51,0893211
"3594";446;"";"2010-02-24";"Bajana Jerzego 1";"bud.handlowo-uslugowe";"przebudowa czÍúci pomieszczeÒ antresoli hali targowej";"przebudowa";"2010-02-01";"3077/10";"382/10";"2010-02-24";2010;2;"2010-02-01";18;NA;NA;16,9650591;51,1304819
"3595";447;"";"2010-02-24";"Na Grobli 30/32";"linie elektroener.i telekom.rozdzielcz.";"linia kablowa";"nowe";"2010-01-13";"952/10";"383/10";"2010-02-24";2010;1;"2010-01-01";31;NA;NA;17,064836;51,1034007
"3596";448;"";"2010-02-24";"Braci Gierymskich 102";"bud.mieszkalne jednorodzinne";"wew.instalacja gazu";"inst.wewnÍtrzna";"2010-02-02";"3311/10";"384/10";"2010-02-24";2010;2;"2010-02-01";17;NA;NA;17,1128389;51,098976
"3597";449;"";"2010-02-24";"Kazimierza JagielloÒczyka 1 A";"bud.o trzech i wiÍcej mieszkaniach";"remont i przebudowa dachu oraz stropu strychowego w budynku ";"przebudowa";"2010-01-20";"1794/10";"385/10";"2010-02-24";2010;1;"2010-01-01";26;NA;NA;17,0327688;51,1210128
"3598";450;"";"2010-02-24";"StrachociÒska 170";"linie telekomunikacyjne ";"przebudowa stacji bazowej telefonii komÛrkowej wroclaw ";"przebudowa";"2009-12-03";"42752/09";"386/10";"2010-02-24";2009;12;"2009-12-01";60;NA;NA;17,156236;51,102695
"3599";451;"";"2010-02-25";"Letnia 29";"bud.mieszkalne jednorodzinne";"przebudowa i zmiana sposobu uzytkowania";"przebudowa";"2009-12-29";"46070/09";"31/10";"2010-02-25";2009;12;"2009-12-01";43;NA;NA;17,00035;51,070763
"3600";452;"";"2010-02-25";"Gazowa 3";"zbiorniki,silosy i bud.magazynowe";"budynek magazynowy";"nowe";"2009-12-15";"44369/09";"32/10";"2010-02-25";2009;12;"2009-12-01";53;NA;NA;17,0677261;51,0780026
"3601";453;"";"2010-02-25";"Zagony 21";"bud.mieszkalne jednorodzinne";"budynek  mieszkalny jednorodzinny";"nowe";"2010-01-18";"1501/10";"387/10";"2010-02-25";2010;1;"2010-01-01";29;NA;NA;16,9466809;51,0988259
"3602";454;"";"2010-02-25";"Klaczki Juliana 9";"bud.mieszkalne jednorodzinne";"rozbudowa  i nadbudowa garaøu na cele mieszkalne";"rozbudowa";"2010-02-18";"5423/10";"388/10";"2010-02-25";2010;2;"2010-02-01";6;NA;NA;17,0615832;51,1358152
"3603";455;"";"2010-02-25";"Sernicka 28";"bud.o trzech i wiÍcej mieszkaniach";"instalacja gazowa w mieszkaniu";"inst.wewnÍtrzna";"2010-02-18";"5428/10";"389/10";"2010-02-25";2010;2;"2010-02-01";6;NA;NA;17,0492682;51,0886133
"3604";456;"";"2010-02-25";"Suchardy Edwarda 7";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa pralni i czÍúci piwnicy na lokal mieszkalny w budynku ";"przebudowa";"2010-01-29";"3001/10";"390/10";"2010-02-25";2010;1;"2010-01-01";20;NA;NA;17,0650686;51,1150361
"3605";457;"";"2010-02-25";"Grabowa 50";"bud.mieszkalne jednorodzinne";"przebudowa dachu oraz wykonanie docieplenia segmentu domu ";"przebudowa";"2010-02-08";"4043/10";"391/10";"2010-02-25";2010;2;"2010-02-01";14;NA;NA;16,919162;51,1363429
"3606";458;"";"2010-02-25";"Smoluchowskiego Mariana 21";"bud.szkÛ≥ i instytucji badawczych";"remont i przebudowa hali laboratoryjnej";"przebudowa";"2010-02-04";"3658/10";"392/10";"2010-02-25";2010;2;"2010-02-01";16;NA;NA;17,0631429;51,1082684
"3607";459;"";"2010-02-25";"MaleczyÒskich Ewy i Karola 72";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkla.jednorodzin";"nowe";"2010-01-21";"1971/10";"393/10";"2010-02-25";2010;1;"2010-01-01";26;NA;NA;16,9757699;51,072389
"3608";460;"";"2010-02-25";"KwidzyÒska 8";"bud.przemys≥owe";"przebudowa czÍúci hali przemys≥owej/5.01-1c/ na pom o funkcji socjal";"przebudowa";"2009-12-22";"45658/09";"394/10";"2010-02-25";2009;12;"2009-12-01";48;NA;NA;17,1015832;51,1278469
"3609";461;"";"2010-02-25";"Kromera Marcina Aleja 9";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wew.instal,gaz.w lokalu mieszkal.";"inst.wewnÍtrzna";"2010-01-15";"1183/10";"395/10";"2010-02-25";2010;1;"2010-01-01";30;NA;NA;17,0633232;51,1313214
"3610";462;"";"2010-02-25";"DÍbickiego Zdzis≥awa 11";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2010-02-03";"3539/10";"396/10";"2010-02-25";2010;2;"2010-02-01";17;NA;NA;17,0332266;51,1263601
"3611";463;"";"2010-02-25";"Serowarska 8";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2010-02-03";"3414/10";"397/10";"2010-02-25";2010;2;"2010-02-01";17;NA;NA;16,857388;51,142838
"3612";464;"";"2010-02-25";"Swojczycka 115 B";"bud.mieszkalne jednorodzinne";"montaø wewnÍtrznej instalacji gazowej dla budynku mieszkalnego";"inst.wewnÍtrzna";"2010-01-05";"106/10";"398/10";"2010-02-25";2010;1;"2010-01-01";38;NA;NA;17,127031;51,113278
"3613";465;"";"2010-02-25";"PowstaÒcÛw ålπskich";"bud.hoteli";"budowa hotelu oraz zespÛ≥ budynkÛw biurowych z us≥ug.,";"nowe";"2008-12-24";"47702/08";"399/10";"2010-02-25";2008;12;"2008-12-01";307;NA;NA;17,0159984;51,0893211
"3614";466;"";"2010-02-26";"Orzeszkowej Elizy 40";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.";"przebudowa";"2009-12-15";"44327/09";"33/10";"2010-02-26";2009;12;"2009-12-01";54;NA;NA;17,0516981;51,1243133
"3615";467;"";"2010-02-26";"Jutrzenki";"linie elektroener.i telekom.rozdzielcz.";"stacji transformatorowej wraz z wjazdem z drogi";"nowe";"2009-12-30";"46332/09";"34/10";"2010-02-26";2009;12;"2009-12-01";43;NA;NA;16,9799311;51,0710148
"3616";468;"";"2010-02-26";"Elblπska";"bud.mieszkalne jednorodzinne";"umarzam postepowanie administrcyjne-dom jednorodzinny";"nowe";"2010-02-01";"3154/10";"51/10";"2010-02-26";2010;2;"2010-02-01";20;NA;NA;16,9562621;51,1211805
"3617";469;"";"2010-02-26";"GrabiszyÒska 253";"bud.handlowo-uslugowe";"przebudowa pawilonu handlowego";"przebudowa";"2010-01-21";"1957/10";"400/10";"2010-02-26";2010;1;"2010-01-01";27;NA;NA;16,9835509;51,0961209
"3618";470;"";"2010-02-26";"Kie≥baúnicza 20";"bud.hoteli";"przebudowa instalacji klimatyzacji";"urzπdzenie";"2010-02-10";"4424/10";"401/10";"2010-02-26";2010;2;"2010-02-01";13;NA;NA;17,0298225;51,1121845
"3619";471;"";"2010-02-26";"DrÛønicza";"bud.mieszkalne jednorodzinne";"przy≥πcze wody i kanalizacji sanitarnej";"przy≥πcze";"2010-01-20";"1760/10";"402/10";"2010-02-26";2010;1;"2010-01-01";28;NA;NA;17,0615234;51,0591232
"3620";472;"";"2010-02-26";"Przyjaüni 66";"bud.o trzech i wiÍcej mieszkaniach";"gabinet kosmetyczny";"przebudowa";"2010-01-29";"2968/10";"403/10";"2010-02-26";2010;1;"2010-01-01";21;NA;NA;16,988788;51,0656419
"3621";473;"";"2010-02-26";"Spiska 1";"bud.kultury fizycznej";"przykrycie p≥yty lodowiska";"przebudowa";"2009-12-30";"46271/09";"404/10";"2010-02-26";2009;12;"2009-12-01";43;NA;NA;17,0310174;51,0853055
"3622";474;"";"2010-02-26";"Kminkowa";"linie elektroener.i telekom.rozdzielcz.";"linii kablowej sn do stacji transformat";"nowe";"2009-12-21";"45441/09";"405/10";"2010-02-26";2009;12;"2009-12-01";50;NA;NA;17,0009094;51,1783728
"3623";475;"";"2010-02-26";"Ømigrodzka 143";"bud.przemys≥owe";"obudowa wjazdÛw i zadaszenie ramp roz≥adunkowych ";"przebudowa";"2010-02-10";"4399/10";"406/10";"2010-02-26";2010;2;"2010-02-01";13;NA;NA;17,0314169;51,148474
"3624";476;"";"2010-02-26";"£ubinowa 16C";"bud.mieszkalne jednorodzinne";"budynek mieszkalny jednorodzinny";"nowe";"2009-12-31";"46464/09";"407/10";"2010-02-26";2009;12;"2009-12-01";42;NA;NA;17,0171387;51,0614176
